place_id,name,category,floor_id,logical_x,logical_y,visual_x,visual_y,approach_pixel_x,approach_pixel_y,raw_dqn_x,raw_dqn_y,dqn_x,dqn_y,snap_cells,walkable,is_store,calibration_rule
三商炸雞,三商炸雞,餐飲,k-floor-grid,31.0,4.0,343.0,76.0,340.0,62.0,68,18,68,17,1,True,True,lower_storefront_visual_snap
東廣場,東廣場,廣場,k-floor-grid,32.0,4.0,343.0,53.0,343.0,62.0,68,15,68,15,0,True,False,original_corridor
這一小鍋,這一小鍋,餐飲,k-floor-grid,33.0,4.0,355.0,76.0,355.0,62.0,71,18,71,17,1,True,True,lower_storefront_visual_snap
K1 樓梯,K1 樓梯,設施,k-floor-grid,34.0,4.0,370.0,53.0,370.0,62.0,74,15,74,15,0,True,False,original_corridor
寶雅,寶雅,生活,k-floor-grid,7.0,2.0,95.0,35.0,88.0,42.0,18,11,18,11,0,True,True,original_corridor
松本清,松本清,生活,k-floor-grid,12.0,2.0,144.0,35.0,144.0,42.0,29,11,29,11,0,True,True,original_corridor
扭蛋總動員,扭蛋總動員,休閒,k-floor-grid,14.0,2.0,157.0,35.0,157.0,42.0,31,11,31,11,0,True,True,original_corridor
拼圖總動員,拼圖總動員,休閒,k-floor-grid,15.0,2.0,167.0,35.0,165.0,42.0,33,11,33,11,0,True,True,original_corridor
中央大樓梯,中央大樓梯,設施,k-floor-grid,19.0,2.0,195.0,35.0,195.0,42.0,39,11,39,11,0,True,False,original_corridor
山崎麵包,山崎麵包,餐飲,k-floor-grid,20.0,2.0,218.0,38.0,215.0,42.0,43,11,43,11,0,True,True,original_corridor
迷客夏,迷客夏,餐飲,k-floor-grid,21.0,2.0,218.0,24.0,216.0,42.0,43,11,43,11,0,True,True,original_corridor
K7 無障礙電梯,K7 無障礙電梯,設施,k-floor-grid,22.0,2.0,229.0,20.0,228.0,42.0,46,11,46,9,2,True,False,original_corridor
銷魂麵舖,銷魂麵舖,餐飲,k-floor-grid,22.0,2.0,228.0,38.0,228.0,42.0,46,11,46,9,2,True,True,original_corridor
荖子鍋,荖子鍋,餐飲,k-floor-grid,23.0,2.0,245.0,38.0,245.0,42.0,49,11,49,9,2,True,True,original_corridor
薩莉亞,薩莉亞,餐飲,k-floor-grid,24.0,2.0,245.0,24.0,250.0,42.0,50,11,51,11,1,True,True,original_corridor
喜魚,喜魚,餐飲,k-floor-grid,25.0,2.0,262.0,24.0,261.0,42.0,52,11,52,11,0,True,True,original_corridor
魔法森林按摩椅,魔法森林按摩椅,休閒,k-floor-grid,25.0,2.0,269.0,38.0,261.0,42.0,52,11,52,11,0,True,True,original_corridor
Joyfull,Joyfull,餐飲,k-floor-grid,27.0,2.0,280.0,24.0,280.0,42.0,56,11,56,11,0,True,True,original_corridor
丸龜製麵,丸龜製麵,餐飲,k-floor-grid,28.0,2.0,295.0,38.0,295.0,42.0,59,11,59,9,2,True,True,original_corridor
QB HOUSE,QB HOUSE,生活,k-floor-grid,29.0,2.0,305.0,24.0,305.0,42.0,61,11,61,9,2,True,True,original_corridor
真茶CA哩,真茶CA哩,餐飲,k-floor-grid,30.0,2.0,317.0,24.0,317.0,42.0,63,11,63,10,1,True,True,original_corridor
洋城義大利麵,洋城義大利麵,餐飲,k-floor-grid,31.0,2.0,332.0,24.0,340.0,42.0,68,11,68,11,0,True,True,original_corridor
K1 無障礙電梯,K1 無障礙電梯,設施,k-floor-grid,33.0,2.0,345.0,20.0,355.0,42.0,71,11,71,11,0,True,False,original_corridor
